assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,11,351,None,None,4,195735,5,,0,0,0,0,235.9,146,93,None,,0,3,3.5,None,0,Nicolas,0.0,21,10,148.5,69,41,17,False,476.2,131,49,1606,,None,75,0,0,3,0,,195735.jpg,3.9,1,0,Pépé,4.4,False,None,a,1,3,774.0,37,19,114,0,0,0,0,0.0,15.2,Pépé,1
0,0,0,None,None,0,198849,None,,0,0,0,0,0.0,378,158,None,,0,3,2.0,None,0,Lucas,0.0,0,0,0.0,389,158,18,False,0.0,389,158,0,,None,45,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.4,False,None,a,1,3,0.0,374,158,0,0,0,0,0,0.0,0.0,Torreira,0
0,5,254,None,None,4,200089,None,,0,0,0,0,137.2,186,115,None,,0,3,3.1,None,0,Joseph,0.0,18,8,97.3,133,75,19,False,436.6,149,59,1210,,None,60,0,1,None,0,,200089.jpg,3.8,0,0,Willock,0.9,False,None,a,1,3,401.0,84,48,79,0,0,0,0,0.0,13.2,Willock,1
1,5,120,None,None,1,205533,None,,0,0,0,0,97.3,224,34,None,,0,4,2.5,None,0,Edward,0.0,6,2,42.1,254,37,20,False,116.6,286,35,411,,None,55,0,0,None,0,,205533.jpg,2.1,0,0,Nketiah,0.4,False,None,a,1,3,211.0,154,36,36,0,0,0,0,0.0,6.5,Nketiah,0
5,3,308,None,None,9,209289,None,,0,0,0,0,385.1,80,54,None,,0,3,2.8,None,0,Emile,0.0,10,2,88.1,151,85,21,False,273.2,212,92,1438,,None,55,0,0,None,0,,209289.jpg,3.7,0,0,Smith Rowe,4.8,False,None,a,1,3,222.0,148,85,74,0,0,0,0,0.0,13.5,Smith Rowe,0
5,8,414,None,None,8,223340,3,,0,0,0,0,650.6,34,25,6,,0,3,3.2,None,0,Bukayo,0.0,31,5,212.7,25,16,22,False,493.0,122,44,2554,,None,65,1,0,None,0,,223340.jpg,3.6,0,0,Saka,11.5,False,None,a,1,3,984.0,20,8,114,0,0,0,0,0.0,17.5,Saka,1
0,7,385,None,None,6,226597,None,,0,0,0,0,51.0,268,88,None,,0,2,3.2,None,0,Gabriel,0.0,24,2,74.9,184,55,23,False,464.8,136,51,1996,,None,50,0,0,None,0,,226597.jpg,3.4,1,0,Magalhães,0.6,False,None,a,1,3,233.0,142,25,78,0,0,0,0,0.0,15.6,Gabriel,2
0,0,0,None,None,0,233963,None,,0,0,0,0,0.0,391,151,None,,0,2,2.7,None,0,Konstantinos,0.0,0,0,0.0,400,151,24,False,0.0,400,151,0,,None,45,0,0,None,0,,233963.jpg,0.0,0,0,Mavropanos,0.1,False,None,a,1,3,0.0,387,150,0,0,0,0,0,0.0,0.0,Mavropanos,0
0,0,0,None,None,0,242166,None,,0,0,0,0,0.0,394,161,None,,0,3,2.0,None,0,Mattéo,0.0,0,0,0.0,403,161,25,False,0.0,403,161,0,,None,45,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.1,False,None,a,1,3,0.0,390,161,0,0,0,0,0,0.0,0.0,Guendouzi,0
1,0,107,None,None,4,444145,None,,0,0,0,0,133.8,191,118,None,,0,3,2.8,None,0,Gabriel Teodoro,0.0,3,2,57.5,217,103,26,False,142.6,277,121,582,,None,55,0,0,None,0,,444145.jpg,2.6,0,0,Martinelli Silva,0.4,False,None,a,1,3,300.0,114,67,36,0,0,0,0,0.0,6.5,Martinelli,0
0,0,0,None,None,0,462424,None,,0,0,0,0,0.0,398,155,None,,0,2,2.7,None,0,William,0.0,0,0,0.0,407,155,27,False,0.0,407,155,0,,None,45,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,0.2,False,None,a,1,3,0.0,394,154,0,0,0,0,0,0.0,0.0,Saliba,0
0,0,0,None,None,0,79852,None,,0,0,0,0,0.0,333,13,None,,0,1,1.5,None,0,Jed,0.0,0,0,0.0,355,36,28,False,0.0,355,36,0,,None,40,0,0,None,0,,79852.jpg,0.0,0,0,Steer,1.0,False,None,a,2,7,0.0,326,9,0,0,0,0,0,0.0,0.0,Steer,0
0,0,0,None,None,0,85242,None,,0,0,0,0,0.0,412,170,None,,0,3,1.9,None,0,Conor,0.0,0,0,0.0,416,170,29,False,0.0,416,170,0,,None,50,0,0,None,0,,85242.jpg,0.0,0,0,Hourihane,0.1,False,None,a,2,7,0.0,407,170,0,0,0,0,0,0.0,0.0,Hourihane,0
0,27,825,None,None,15,98980,None,,0,0,0,0,20.0,295,2,None,,0,1,3.8,None,0,Emiliano,0.0,46,0,108.5,109,1,30,False,1067.2,3,1,3420,,None,55,0,0,None,1,,98980.jpg,4.9,0,142,Martínez,39.5,False,None,a,2,7,0.0,428,43,186,0,0,0,0,0.0,33.8,Martínez,1
